Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od;
"Programista JavaScript";" Warszawa";" Umowa o pracę";" TechCorp";" 2025-08-01";
"Marketing Manager";" Kraków";" Umowa o pracę";" MarketPro";" 2025-08-02";
"Frontend Developer";" Gdańsk";" Kontrakt B2B";" WebStudio";" 2025-08-03";
"Księgowy";" Wrocław";" Umowa o pracę";" FinanceGroup";" 2025-08-04";
"Handlowiec";" Poznań";" Umowa zlecenie";" SalesForce";" 2025-08-05";
"Backend Developer";" Warszawa";" Kontrakt B2B";" DevHouse";" 2025-08-06";
"Specjalista ds. marketingu";" Katowice";" Umowa o pracę";" AdAgency";" 2025-08-07";
"Full Stack Developer";" Łódź";" Umowa o pracę";" SoftwarePlus";" 2025-08-08";
"Analityk finansowy";" Warszawa";" Umowa o pracę";" BankCorp";" 2025-08-09";
"Konsultant sprzedaży";" Gdynia";" Umowa zlecenie";" SalesPro";" 2025-08-10";
